fraction,n_activation_rows,unit_count,median_activation_energy_relative_std,p90_activation_energy_relative_std,mean_activation_energy_relative_std,median_combined_relative_std,p90_combined_relative_std,mean_combined_relative_std
0.25,63,51,0.0012485081663515896,0.0997406303441795,0.026272587214672453,0.22632812595065732,0.2616774678122338,0.22743510143046822
0.25,64,8896,0.0011099023041541661,0.08155553147443409,0.023949489853877216,0.1295058401344238,0.20298535296326384,0.1257196592374208
0.5,1,2295,0.0,0.0,0.0,1.0127393670836666,1.2403473458920846,1.029078793348435
0.5,2,1719,0.0029418433003661777,0.17247218513584273,0.04813806216929572,0.7160079825983547,0.8639409386987911,0.7286556840320828
0.5,3,1308,0.002290113564215126,0.12897642485404257,0.03540484798446159,0.5748752587839231,0.6793918345048154,0.5798233100368434
0.5,4,1104,0.002926479751688987,0.14709563648369478,0.04418092855865692,0.5058430006922134,0.5943358398820388,0.5084147398198355
0.5,5,849,0.002004252804540354,0.12098757936453511,0.03468969049698256,0.45194271725005025,0.5277064452064157,0.4535918670378286
0.5,6,798,0.0027540257088266053,0.1390112522730935,0.04028121447875126,0.4098031672288378,0.48699683205304223,0.4132418165441403
0.5,7,651,0.0018334379189621026,0.11107214250553382,0.03265970480447574,0.38078726234319393,0.44582769914154485,0.38446903606773314
0.5,8,624,0.0020016612117482323,0.11514296238484653,0.035946243687132035,0.35307288738135467,0.413649248265588,0.3557856471949196
0.5,9,507,0.002079055944358623,0.10574088102599491,0.030601545766575682,0.33969230799489875,0.3985410556513356,0.34050078682256946
0.5,10,498,0.0022157307412207826,0.10387316545809812,0.03111394137879629,0.31927077595204634,0.37560578637199954,0.32193786933627727
0.5,11,483,0.001509676723681109,0.09137418349841551,0.0279624831160464,0.3039429831557974,0.34951608463617323,0.30425016750241474
0.5,12,375,0.0019823391231648564,0.09143561272002859,0.02914931485215319,0.28582534729219866,0.33913399009918904,0.29002149179585424
0.5,13,375,0.0015638750936768195,0.08683879901905414,0.026728384272126364,0.2808700703129363,0.32584278119977883,0.28115367194858387
0.5,14,375,0.0015532903692734982,0.0900022915979884,0.027678975554525736,0.26658065049643614,0.31598577850228005,0.26942431241672604
0.5,15,375,0.0013955714656746052,0.09255639678832706,0.02881888882957367,0.26051665996432954,0.2977849249340949,0.26135290458000215
0.5,16,297,0.0016542208404036265,0.09482529282295238,0.028415074073955573,0.2528991782243614,0.3025286798721225,0.25553472332312943
0.5,17,327,0.0014696917134968334,0.08758577700631935,0.02995236370344349,0.24519583872792952,0.2869484103403306,0.24815061843297828
0.5,18,273,0.0012131724293656528,0.0840197394287189,0.02603504852303936,0.23884437151342025,0.2757388109518034,0.23979169572215275
0.5,19,309,0.001172684816102599,0.08028559482943282,0.023955815314536538,0.2313389571085359,0.2702850173773207,0.23176680100876984
0.5,20,249,0.0015033920016562766,0.07859753044967617,0.02468516637279213,0.2273258307536402,0.26350838556130834,0.22794093967342638
0.5,21,231,0.0013534910257234434,0.07546475900291919,0.023141185752157935,0.2213243022070797,0.251569353414531,0.2214381089477519
0.5,22,255,0.0014847032309510393,0.0699331608061264,0.021066452785145816,0.2152709341335182,0.24969896523437696,0.21584151876049143
0.5,23,225,0.0015349050652210111,0.06811200312631309,0.021168847037619423,0.21370921188311007,0.24234100613187856,0.21031573541980322
0.5,24,198,0.0010320560510665598,0.06499666557826991,0.02059319745994325,0.20586251916121967,0.2369177357104608,0.20437402054832013
0.5,25,183,0.0010091599403964694,0.07291084230349967,0.0236431701192836,0.1994016404751851,0.2323599837398675,0.2027069364223607
0.5,26,180,0.0013428448231091314,0.0649064214476467,0.020224291783534416,0.19919701400485784,0.2301822588301787,0.20077001172855496
0.5,27,195,0.0011016933615770222,0.06926173232636283,0.02263999779853906,0.19288352533981243,0.22525649037155596,0.19564823692007463
0.5,28,168,0.0010324447906072615,0.07901158029603744,0.022252381308460804,0.19196219419163613,0.2291989967520569,0.1960269552941535
0.5,29,171,0.001091285908978112,0.06930053177060892,0.020519186114182342,0.19257530229015676,0.2190170188543292,0.19186427006619364
0.5,30,165,0.0013941751555628936,0.08381455792213352,0.023735841872295518,0.18514483438113477,0.21788799107734094,0.18755954858250865
0.5,31,114,0.0008340001194714654,0.0651683363083201,0.02029479420676065,0.1785984929437644,0.2091596472873327,0.17876642256549152
0.5,32,156,0.0010571930141714718,0.062158793527871486,0.0187354475902862,0.1808164681773402,0.2038120361288848,0.18034627740414105
